x,y
277,77
277,77
271,71
277,71
265,77
265,77
569,145
259,71
277,71
265,71
259,71
265,65
301,55
289,43
265,57
265,57
259,59
277,53
265,53
259,295
499,103
271,41
267,41
271,47
265,47
271,47
277,47
289,41
271,35
349,25
259,41
265,33
253,35
337,19
257,307
295,49
283,19
271,47
385,65
385,65
373,64
367,65
367,61
385,65
373,71
259,73
273,167
271,169
275,167
277,161
277,151
277,157
277,161
283,151
497,157
283,145
487,163
265,151
481,157
259,145
251,145
251,151
249,151
249,151
247,151
463,160
243,151
241,153
461,163
239,155
463,163
239,151
239,157
235,155
235,157
463,163
235,157
237,155
239,154
239,152
457,167
233,155
232,157
455,163
457,163
457,163
457,163
233,157
457,161
231,157
457,163
457,163
233,157
233,157
233,157
457,163
233,157
455,164
455,163
451,161
451,163
451,161
223,157
449,163
449,163
449,163
223,157
445,163
223,157
223,157
445,163
445,163
445,163
221,157
445,163
443,163
415,163
403,165
385,169
383,167
379,167
373,167
355,169
335,169
325,169
325,173
325,173
325,173
289,175
325,173
346,173
355,169
385,167
415,167
427,167
259,151
491,157
491,157
271,145
499,157
499,151
277,139
277,137
499,151
503,151
505,151
511,157
517,157
289,145
289,145
292,143
293,143
517,161
511,158
511,157
511,157
511,157
515,157
295,136
481,151
515,151
515,151
481,149
505,151
511,151
481,157
487,154
511,157
511,151
511,152
289,133
451,143
449,137
443,139
433,139
427,139
409,137
409,139
405,139
397,137
391,137
385,139
377,136
373,137
365,139
361,139
355,137
349,139
343,133
337,133
335,133
331,133
325,133
325,133
319,133
317,135
317,139
313,139
313,139
337,175
343,176
343,175
343,175
343,169
343,169
347,169
121,157
349,169
349,166
347,161
349,157
343,154
344,151
349,145
343,145
349,145
359,143
352,139
361,139
343,145
329,145
337,145
379,145
346,149
173,145
173,145
182,145
191,145
199,145
205,145
241,139
259,143
277,143
289,145
313,145
313,145
313,145
313,145
313,145
313,145
313,145
305,145
307,145
295,145
295,145
297,145
299,145
305,145
525,161
529,158
529,163
529,163
529,157
529,157
523,155
529,157
529,159
529,157
529,160
523,161
523,161
305,131
305,133
523,158
301,131
517,157
517,157
517,155
517,159
517,151
293,127
506,151
293,127
284,127
500,153
287,127
487,145
271,121
485,145
485,145
475,139
475,139
254,121
247,121
463,137
457,139
451,133
451,137
443,139
217,121
215,127
435,149
433,145
433,149
433,157
433,161
435,158
211,145
211,145
213,145
218,145
433,157
215,139
427,154
211,137
209,143
209,146
421,163
205,161
201,173
197,215
437,259
439,286
445,289
197,295
451,277
445,286
445,289
451,283
451,284
187,277
451,293
355,163
343,143
331,143
325,131
355,115
355,109
317,109
351,109
325,107
325,101
361,103
355,103
355,97
335,101
361,101
25,277
289,91
299,91
527,121
319,91
319,91
331,91
325,82
553,133
335,91
335,91
553,139
343,87
565,139
337,83
559,149
559,149
347,95
559,146
559,151
337,97
553,155
553,155
326,103
301,95
541,149
323,97
325,97
535,145
508,143
529,143
317,97
527,145
311,91
523,145
497,137
305,91
521,145
517,143
301,94
301,91
301,91
511,139
511,145
511,143
505,137
299,91
299,91
265,91
295,91
295,91
290,93
293,91
493,133
293,97
499,137
289,101
289,109
289,121
287,121
287,127
289,127
295,133
523,175
298,139
289,137
523,167
289,139
275,139
275,139
273,139
265,137
505,175
259,133
491,169
251,133
251,133
247,127
475,157
469,151
469,151
463,151
463,149
233,124
467,157
461,157
464,160
223,133
463,161
463,163
463,163
457,157
217,133
215,136
463,161
463,161
457,163
217,136
221,139
217,137
223,139
217,139
209,133
445,153
205,127
205,127
203,127
203,128
442,152
209,127
449,151
451,152
449,151
449,151
213,127
451,151
211,121
209,121
212,121
451,148
451,148
211,121
447,148
451,151
211,127
452,148
451,151
211,127
211,127
451,151
451,145
449,143
449,139
449,139
445,139
451,133
215,99
448,121
448,112
215,85
219,79
221,79
223,73
223,67
445,85
218,61
445,81
445,79
457,85
223,73
219,73
455,94
455,94
457,95
443,103
451,109
439,109
439,111
448,115
445,115
418,113
445,115
451,121
445,117
442,115
439,115
397,145
439,145
451,151
455,155
461,160
463,160
469,163
247,145
481,163
487,169
487,169
259,149
496,173
499,175
268,145
505,179
271,151
283,148
287,149
287,149
287,149
283,151
511,187
283,163
517,205
517,205
517,211
511,217
511,217
511,224
511,235
511,241
511,251
511,259
251,241
247,248
245,253
487,287
223,251
235,313
499,311
499,311
511,307
505,299
505,307
259,277
259,271
505,291
121,91
115,19
511,277
277,247
281,247
275,235
505,257
283,233
283,229
283,223
277,221
155,31
155,31
155,31
277,217
271,217
271,219
481,239
481,235
263,217
475,235
257,217
257,217
257,217
253,217
472,239
259,220
475,239
259,223
263,223
259,223
260,221
260,221
265,223
481,239
265,223
265,223
484,245
265,223
271,229
481,241
481,235
481,235
257,211
469,229
469,229
464,227
257,205
465,224
463,223
463,223
257,205
463,219
463,217
463,217
463,217
463,217
256,199
253,199
115,223
103,19
103,19
607,139
121,22
115,19
119,17
115,19
